type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand,geometry,index_right,Stadtteil_Nummer,Stadtteil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102302855,geom,LineString,"[[453184.62627103, 5429174.89824388], [453188.19801102, 5429174.95493788], [453188.70826002, 5429176.20221188], [453197.49587402, 5429171.66666888], [453198.17620502, 5429173.08402588], [453201.18100301, 5429171.43989188], [453200.33058801, 5429170.02253488], [453201.18100301, 5429171.60997488], [453202.59836001, 5429174.16121788], [453206.90712501, 5429173.42419188], [453207.02051401, 5429178.24320587], [453223.74532799, 5429178.29990087], [453223.74532799, 5429174.67146588]]",,,102302855,Karlsruhe,2026-03-29T22:00:00Z,2026-06-30T21:59:59Z,Fernwärmeversorgung,Glümerstraße zw. Hardtstraße und Geibelstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,52214,2025V4239,Stadt Karlsruhe,2025-09-01T22:00:00Z,"LINESTRING (453184.626271 5429174.898244, 453188.198011 5429174.954938, 453188.70826 5429176.202212, 453197.495874 5429171.666669, 453198.176205 5429173.084026, 453201.181003 5429171.439892, 453200.330588 5429170.022535, 453201.181003 5429171.609975, 453202.59836 5429174.161218, 453206.907125 5429173.424192, 453207.020514 5429178.243206, 453223.745328 5429178.299901, 453223.745328 5429174.671466)",64,081,Alt-Mühlburg
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102302989,geom,LineString,"[[454287.82273808, 5425235.76143019], [454490.78713191, 5425094.80916727], [454571.42268284, 5425050.1730813], [454686.60737975, 5425025.70007431], [454774.44818767, 5425089.06343827], [454859.3754666, 5425135.12401525], [454970.26289651, 5425153.85197923], [455066.73003443, 5425235.91865519], [455202.08490432, 5425427.42562507], [455212.16858531, 5425489.33625804], [455216.49048231, 5425594.45794498], [455220.8086343, 5425639.08267195]]",,,102302989,Karlsruhe,2025-10-13T22:00:00Z,2025-10-16T21:59:59Z,Grünpflegearbeiten,Im Weiherwald zw. Battstraße und Lohwiesenweg,,Forstamt,,mit Vollsperrung,52486,2025V4261,Stadt Karlsruhe,2025-08-21T22:00:00Z,"LINESTRING (454287.822738 5425235.76143, 454490.787132 5425094.809167, 454571.422683 5425050.173081, 454686.60738 5425025.700074, 454774.448188 5425089.063438, 454859.375467 5425135.124015, 454970.262897 5425153.851979, 455066.730034 5425235.918655, 455202.084904 5425427.425625, 455212.168585 5425489.336258, 455216.490482 5425594.457945, 455220.808634 5425639.082672)",29,141,Weiherfeld
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102302989,geom,LineString,"[[454287.82273808, 5425235.76143019], [454490.78713191, 5425094.80916727], [454571.42268284, 5425050.1730813], [454686.60737975, 5425025.70007431], [454774.44818767, 5425089.06343827], [454859.3754666, 5425135.12401525], [454970.26289651, 5425153.85197923], [455066.73003443, 5425235.91865519], [455202.08490432, 5425427.42562507], [455212.16858531, 5425489.33625804], [455216.49048231, 5425594.45794498], [455220.8086343, 5425639.08267195]]",,,102302989,Karlsruhe,2025-10-13T22:00:00Z,2025-10-16T21:59:59Z,Grünpflegearbeiten,Im Weiherwald zw. Battstraße und Lohwiesenweg,,Forstamt,,mit Vollsperrung,52486,2025V4261,Stadt Karlsruhe,2025-08-21T22:00:00Z,"LINESTRING (454287.822738 5425235.76143, 454490.787132 5425094.809167, 454571.422683 5425050.173081, 454686.60738 5425025.700074, 454774.448188 5425089.063438, 454859.375467 5425135.124015, 454970.262897 5425153.851979, 455066.730034 5425235.918655, 455202.084904 5425427.425625, 455212.168585 5425489.336258, 455216.490482 5425594.457945, 455220.808634 5425639.082672)",0,132,Bulach
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102305970,geom,LineString,"[[462945.59113687, 5426090.56113366], [462971.00382285, 5426057.79034468], [462985.04293084, 5426034.7518077], [462996.20222283, 5426004.15375071], [463008.44144482, 5425975.35557873], [463033.9998228, 5425944.39754475], [463056.67838278, 5425911.99960177], [463067.11771977, 5425891.48090478], [463077.55705676, 5425856.9230988], [463111.39490773, 5425786.00760184], [463122.91417672, 5425762.60908785], [463131.91360471, 5425728.41125887], [463149.5524847, 5425666.85516791], [463161.79170769, 5425624.37786494], [463173.67095368, 5425595.57969395], [463189.14997067, 5425566.78152197]]",,,102305970,Karlsruhe,2025-10-06T22:00:00Z,2025-10-08T21:59:59Z,Straßenunterhaltung,L623 zw. Steinkreuzsstraße und Hohenwettersbacher Straße,,Tiefbauamt,Nächtliche Vollsperrung vs. ab 0:00 - 5:00 Uhr,mit Vollsperrung,49247,2025V4635,Stadt Karlsruhe,2025-08-13T22:00:00Z,"LINESTRING (462945.591137 5426090.561134, 462971.003823 5426057.790345, 462985.042931 5426034.751808, 462996.202223 5426004.153751, 463008.441445 5425975.355579, 463033.999823 5425944.397545, 463056.678383 5425911.999602, 463067.11772 5425891.480905, 463077.557057 5425856.923099, 463111.394908 5425786.007602, 463122.914177 5425762.609088, 463131.913605 5425728.411259, 463149.552485 5425666.855168, 463161.791708 5425624.377865, 463173.670954 5425595.579694, 463189.149971 5425566.781522)",55,193,Hanggebiet
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102305971,geom,LineString,"[[460746.2495687, 5425573.73991797], [460772.55505468, 5425549.24860399], [460791.60385466, 5425523.850204], [460821.53768364, 5425487.56677502], [460845.12191162, 5425445.84083305], [460865.0777976, 5425396.85820408], [460871.4273976, 5425357.8535181], [460872.33448359, 5425322.47717512], [460880.49825459, 5425287.10083314], [460900.45414057, 5425234.48986117], [460914.96751156, 5425187.3214042], [460942.18008354, 5425130.17500423], [460973.92808351, 5425093.89157525], [461003.86191148, 5425073.02860426], [461044.68076845, 5425069.40026127], [461088.22088341, 5425056.70106127], [461127.22556838, 5425032.20974729], [461158.06648335, 5425012.2538613], [461181.65071133, 5424986.85546131], [461218.8412253, 5424960.54997533], [461272.35928326, 5424932.43031835], [461297.75768324, 5424908.84609036], [461322.24899722, 5424876.19100438], [461331.31985421, 5424838.0934044], [461338.5765402, 5424815.41626141], [461363.97494018, 5424791.83203343], [461392.09459716, 5424770.96906144], [461420.21425413, 5424749.19900445], [461425.65676813, 5424721.98643347], [461432.91345412, 5424682.98174749], [461433.82054012, 5424664.8400335]]",,,102305971,Karlsruhe,2025-10-06T22:00:00Z,2025-10-08T21:59:59Z,Straßenunterhaltung,L623 zw. Steinkreuzsstraße und Hohenwettersbacher Straße,,Tiefbauamt,Nächtliche Vollsperrung vs. ab 0:00 - 5:00 Uhr,mit Vollsperrung,49247,2025V4635,Stadt Karlsruhe,2025-08-13T22:00:00Z,"LINESTRING (460746.249569 5425573.739918, 460772.555055 5425549.248604, 460791.603855 5425523.850204, 460821.537684 5425487.566775, 460845.121912 5425445.840833, 460865.077798 5425396.858204, 460871.427398 5425357.853518, 460872.334484 5425322.477175, 460880.498255 5425287.100833, 460900.454141 5425234.489861, 460914.967512 5425187.321404, 460942.180084 5425130.175004, 460973.928084 5425093.891575, 461003.861911 5425073.028604, 461044.680768 5425069.400261, 461088.220883 5425056.701061, 461127.225568 5425032.209747, 461158.066483 5425012.253861, 461181.650711 5424986.855461, 461218.841225 5424960.549975, 461272.359283 5424932.430318, 461297.757683 5424908.84609, 461322.248997 5424876.191004, 461331.319854 5424838.093404, 461338.57654 5424815.416261, 461363.97494 5424791.832033, 461392.094597 5424770.969061, 461420.214254 5424749.199004, 461425.656768 5424721.986433, 461432.913454 5424682.981747, 461433.82054 5424664.840034)",27,194,Bergwald
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102305971,geom,LineString,"[[460746.2495687, 5425573.73991797], [460772.55505468, 5425549.24860399], [460791.60385466, 5425523.850204], [460821.53768364, 5425487.56677502], [460845.12191162, 5425445.84083305], [460865.0777976, 5425396.85820408], [460871.4273976, 5425357.8535181], [460872.33448359, 5425322.47717512], [460880.49825459, 5425287.10083314], [460900.45414057, 5425234.48986117], [460914.96751156, 5425187.3214042], [460942.18008354, 5425130.17500423], [460973.92808351, 5425093.89157525], [461003.86191148, 5425073.02860426], [461044.68076845, 5425069.40026127], [461088.22088341, 5425056.70106127], [461127.22556838, 5425032.20974729], [461158.06648335, 5425012.2538613], [461181.65071133, 5424986.85546131], [461218.8412253, 5424960.54997533], [461272.35928326, 5424932.43031835], [461297.75768324, 5424908.84609036], [461322.24899722, 5424876.19100438], [461331.31985421, 5424838.0934044], [461338.5765402, 5424815.41626141], [461363.97494018, 5424791.83203343], [461392.09459716, 5424770.96906144], [461420.21425413, 5424749.19900445], [461425.65676813, 5424721.98643347], [461432.91345412, 5424682.98174749], [461433.82054012, 5424664.8400335]]",,,102305971,Karlsruhe,2025-10-06T22:00:00Z,2025-10-08T21:59:59Z,Straßenunterhaltung,L623 zw. Steinkreuzsstraße und Hohenwettersbacher Straße,,Tiefbauamt,Nächtliche Vollsperrung vs. ab 0:00 - 5:00 Uhr,mit Vollsperrung,49247,2025V4635,Stadt Karlsruhe,2025-08-13T22:00:00Z,"LINESTRING (460746.249569 5425573.739918, 460772.555055 5425549.248604, 460791.603855 5425523.850204, 460821.537684 5425487.566775, 460845.121912 5425445.840833, 460865.077798 5425396.858204, 460871.427398 5425357.853518, 460872.334484 5425322.477175, 460880.498255 5425287.100833, 460900.454141 5425234.489861, 460914.967512 5425187.321404, 460942.180084 5425130.175004, 460973.928084 5425093.891575, 461003.861911 5425073.028604, 461044.680768 5425069.400261, 461088.220883 5425056.701061, 461127.225568 5425032.209747, 461158.066483 5425012.253861, 461181.650711 5424986.855461, 461218.841225 5424960.549975, 461272.359283 5424932.430318, 461297.757683 5424908.84609, 461322.248997 5424876.191004, 461331.319854 5424838.093404, 461338.57654 5424815.416261, 461363.97494 5424791.832033, 461392.094597 5424770.969061, 461420.214254 5424749.199004, 461425.656768 5424721.986433, 461432.913454 5424682.981747, 461433.82054 5424664.840034)",55,193,Hanggebiet
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102310926,geom,LineString,"[[454132.22297226, 5432567.41147086], [454133.47024626, 5432566.22089086], [454132.10958326, 5432565.03031086], [454136.81520926, 5432560.55146187], [454136.75851526, 5432553.29459387], [454135.56793526, 5432553.29459387]]",,,102310926,Karlsruhe,2025-12-31T23:00:00Z,2026-02-28T22:59:59Z,Fernwärmeversorgung,Oberfeldsraße zw. Pralistraße und Welschneureuter Straße,,Stadtwerke Karlsruhe,,mit Verkehrsbehinderung,47814,2025V5276,Stadt Karlsruhe,2025-09-14T22:00:00Z,"LINESTRING (454132.222972 5432567.411471, 454133.470246 5432566.220891, 454132.109583 5432565.030311, 454136.815209 5432560.551462, 454136.758515 5432553.294594, 454135.567935 5432553.294594)",47,261,Südlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102310942,geom,LineString,"[[457787.74442419, 5429174.07862486], [457786.70871019, 5429173.75719586], [457786.88728119, 5429172.36433886], [457778.6015672, 5429171.07862486]]",,,102310942,Karlsruhe,2026-03-31T22:00:00Z,2026-05-31T21:59:59Z,Fernwärmeversorgung,Parkstraße zw. Edelsheimer Straße und Kornblumenstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,49914,2025V5280,Stadt Karlsruhe,2025-09-17T22:00:00Z,"LINESTRING (457787.744424 5429174.078625, 457786.70871 5429173.757196, 457786.887281 5429172.364339, 457778.601567 5429171.078625)",58,073,Westlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102310942,geom,LineString,"[[457787.74442419, 5429174.07862486], [457786.70871019, 5429173.75719586], [457786.88728119, 5429172.36433886], [457778.6015672, 5429171.07862486]]",,,102310942,Karlsruhe,2026-03-31T22:00:00Z,2026-05-31T21:59:59Z,Fernwärmeversorgung,Parkstraße zw. Edelsheimer Straße und Kornblumenstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,49914,2025V5280,Stadt Karlsruhe,2025-09-17T22:00:00Z,"LINESTRING (457787.744424 5429174.078625, 457786.70871 5429173.757196, 457786.887281 5429172.364339, 457778.601567 5429171.078625)",65,071,Nördlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102312471,geom,LineString,"[[460154.58751621, 5427908.6779196], [460151.35610421, 5427909.5849826], [460143.87283622, 5427882.31640562], [460132.87469923, 5427847.05433764], [460120.68604224, 5427805.83966866], [460117.73810624, 5427796.42893967], [460119.94906924, 5427795.86202867], [460119.15538424, 5427793.19751767], [460146.42395021, 5427785.71421167], [460146.93417321, 5427787.47164567], [460154.02060221, 5427785.31737167], [460151.01599821, 5427774.37601568], [460170.1209672, 5427768.93354868], [460175.86279719, 5427767.34220568], [460176.16889219, 5427758.71886869], [460181.51594419, 5427757.48187969], [460180.55219019, 5427753.34340569], [460214.34028216, 5427743.7625547], [460245.91740713, 5427734.57854271], [460249.14881913, 5427736.3359777], [460254.13766412, 5427733.16125771]]",,,102312471,Karlsruhe,2026-05-14T22:00:00Z,2026-07-19T21:59:59Z,Gas bzw. Wasserversorgung,Johann-Strauß-Straße zw. Parkplatz Lorzingstraße/ Milliöeckerstraße und Durlacher Allee,,Stadtwerke Karlsruhe,,mit Vollsperrung,41073,2025V5450,Stadt Karlsruhe,2025-09-21T22:00:00Z,"LINESTRING (460154.587516 5427908.67792, 460151.356104 5427909.584983, 460143.872836 5427882.316406, 460132.874699 5427847.054338, 460120.686042 5427805.839669, 460117.738106 5427796.42894, 460119.949069 5427795.862029, 460119.155384 5427793.197518, 460146.42395 5427785.714212, 460146.934173 5427787.471646, 460154.020602 5427785.317372, 460151.015998 5427774.376016, 460170.120967 5427768.933549, 460175.862797 5427767.342206, 460176.168892 5427758.718869, 460181.515944 5427757.48188, 460180.55219 5427753.343406, 460214.340282 5427743.762555, 460245.917407 5427734.578543, 460249.148819 5427736.335978, 460254.137664 5427733.161258)",54,192,Dornwald-Untermühl
