type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102021977,geom,MultiPolygon,"[[[[455568.34010602, 5426039.45203671], [455574.26891401, 5426036.45191671], [455580.34058601, 5426047.73808271], [455573.91175701, 5426050.80963371], [455568.34010602, 5426039.45203671]]], [[[455588.051621, 5426050.39858171], [455593.723281, 5426061.1159327], [455587.883886, 5426064.3741367], [455581.30734801, 5426053.48883371], [455588.051621, 5426050.39858171]]]]",,,102021977,Karlsruhe,2025-11-09T23:00:00Z,2026-02-18T22:59:59Z,Haltestellenumbau mit Straßenumgestaltung,Neckarstraße zwischen Enzstraße und Dreisamstraße,,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen.",mit Verkehrsbehinderung,31027,2020V5592,Stadt Karlsruhe,2025-08-10T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102078846,geom,MultiPolygon,"[[[[454968.86546052, 5426532.34875843], [454963.05447153, 5426517.96301843], [454966.73948852, 5426516.26224144], [454973.18826852, 5426530.50625043], [454968.86546052, 5426532.34875843]]], [[[454997.0780515, 5426606.28243538], [454990.8066885, 5426586.22824739], [454992.9325745, 5426585.4841874], [454998.2472885, 5426582.4370844], [455004.12890549, 5426600.43625039], [455001.36525449, 5426601.78264438], [454999.6645455, 5426605.25492438], [454997.0780515, 5426606.28243538]]]]",,,102078846,Karlsruhe,2026-02-28T23:00:00Z,2026-05-31T21:59:59Z,Haltestellenumbau mit Straßenumgestaltung,Litzenhardtsatrße zw. St.-Florian-Straße und Breite Straße,,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen, Dauer der Vollsperrung ca. 5 Wochen",mit Vollsperrung,35548,2021V5742,Stadt Karlsruhe,2025-09-08T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102260990,geom,MultiPolygon,"[[[[454826.02103764, 5426886.49662922], [454829.42263764, 5426883.43522922], [454843.93603763, 5426872.32342923], [454852.21313762, 5426866.31392923], [454841.32813763, 5426832.07142925], [454842.68873763, 5426831.95812925], [454854.48083762, 5426864.27302923], [454860.60373761, 5426861.09822923], [454892.23833759, 5426854.06832924], [454916.84553757, 5426848.13712924], [454938.50223755, 5426841.78752925], [454976.78013752, 5426831.22572925], [454977.16673752, 5426832.03292925], [454977.94753752, 5426831.66852925], [454996.8094375, 5426825.52282925], [455002.90273749, 5426823.11402926], [455006.53113749, 5426816.99112926], [455026.37363747, 5426809.39432926], [455052.45233745, 5426799.98332927], [455053.69953745, 5426801.68412927], [455038.27913746, 5426807.12662926], [455034.94403747, 5426808.45942926], [455038.11873747, 5426818.21032926], [455037.21163747, 5426818.38042926], [455033.81013747, 5426808.45942926], [455011.97363749, 5426815.74392926], [455007.89173749, 5426818.35182926], [455004.03663749, 5426824.13442926], [454995.7594375, 5426826.85572925], [454966.73273752, 5426836.15332925], [454937.02563755, 5426844.31712924], [454922.73903756, 5426848.05882924], [454898.81473758, 5426854.18172924], [454861.73753761, 5426862.68562923], [454855.04783762, 5426867.67462923], [454844.38953763, 5426875.95172923], [454827.60843764, 5426888.08402922], [454826.02103764, 5426886.49662922]]], [[[454893.25883759, 5426863.36592923], [454900.17533758, 5426861.55172924], [454910.15323757, 5426859.05722923], [454910.60683757, 5426857.69662924], [454929.65563756, 5426852.70762924], [454973.42253752, 5426839.89512925], [454998.7075375, 5426830.59742925], [455001.5421375, 5426829.35022925], [455038.84603746, 5426818.23842926], [455042.02083746, 5426817.78482926], [455045.30903746, 5426819.14552926], [455048.25703746, 5426820.73292926], [455051.99883745, 5426825.94862925], [455053.47283745, 5426836.38012925], [455055.74053745, 5426867.22102923], [455053.47283745, 5426867.56122923], [455051.43183745, 5426850.32652924], [455050.97833745, 5426837.40062925], [455049.50433746, 5426825.15492925], [455045.64923746, 5426821.29982926], [455039.52633746, 5426819.48562926], [455018.55003748, 5426826.40222925], [455009.25233749, 5426829.23682925], [454992.0177375, 5426835.01952925], [454965.93903753, 5426844.77062924], [454951.08553754, 5426849.07932924], [454914.80203757, 5426859.39742924], [454893.25883759, 5426866.08722923], [454893.25883759, 5426863.36592923]]]]",,,102260990,Karlsruhe,2025-12-08T23:00:00Z,2025-12-20T22:59:59Z,Strom bzw. TK-Versorgung,"Breite Straße zw, Neubruchweg und Wartburgstraße",,Telekommunikation,"Abwicklung in mehreren Bauabschnitten, Arbeitsstelle im Geh-, und Radwegbereich und Fahrbahnquerung",mit Verkehrsbehinderung,43211,2024V7262,Stadt Karlsruhe,2024-12-05T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102261447,geom,MultiPolygon,"[[[[455206.90946834, 5428856.37523106], [455202.94096834, 5428851.04610306], [455199.99293934, 5428826.21463107], [455205.54883934, 5428825.19416007], [455208.38348234, 5428850.25240306], [455206.90946834, 5428856.37523106]]], [[[455266.89051129, 5428804.67134509], [455261.22122529, 5428807.16583109], [455229.81338232, 5428808.86661708], [455229.24645432, 5428806.25874509], [455248.5220253, 5428805.12488809], [455266.89051129, 5428804.67134509]]], [[[455142.95984339, 5428780.9737151], [455186.27321436, 5428778.2524561], [455186.49998636, 5428781.4272581], [455145.45433039, 5428783.6949741], [455142.95984339, 5428780.9737151]]]]",,,102261447,Karlsruhe,2026-07-29T22:00:00Z,2026-10-16T21:59:59Z,Fernwärmeversorgung,Reinhold-Frank-Straße zwischen Belfortstraße und Kaiserallee,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40847,2024V5284,Stadt Karlsruhe,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102286477,geom,MultiPolygon,"[[[[454101.09693826, 5428233.80982843], [454115.20783824, 5428232.81972843], [454115.22963824, 5428213.48932844], [454114.56663824, 5428181.26502846], [454113.35063825, 5428153.57002848], [454111.10693825, 5428120.4420285], [454108.47123825, 5428091.15232851], [454106.48193825, 5428073.15112852], [454114.43703824, 5428065.03552853], [454104.60833825, 5428058.00702853], [454105.49113825, 5428056.21322853], [454101.74663825, 5428053.75882853], [454103.94433825, 5428050.41842854], [454104.13523825, 5428050.55722854], [454102.24993825, 5428053.56792853], [454106.00213825, 5428056.05212853], [454105.06233825, 5428057.87572853], [454115.37413824, 5428065.01812853], [454107.31303825, 5428073.16162852], [454108.72133825, 5428085.07762852], [454109.90323825, 5428100.57472851], [454112.16403825, 5428125.46292849], [454112.94173825, 5428137.43312849], [454114.09653824, 5428154.99702848], [454120.66233824, 5428154.56532847], [454121.13303824, 5428155.44722847], [454114.17453824, 5428156.18422847], [454114.22053824, 5428156.88362847], [454115.02953824, 5428175.78592846], [454115.73113824, 5428192.93612845], [454116.17863824, 5428207.92382844], [454116.10533824, 5428219.91912844], [454116.18263824, 5428235.35102843], [454115.20523824, 5428235.14122843], [454115.20683824, 5428233.74762843], [454101.25143826, 5428234.79752843], [454101.09693826, 5428233.80982843]]], [[[454116.16353824, 5428210.39862844], [454116.16793824, 5428209.67982844], [454121.11393824, 5428209.71002844], [454121.65063824, 5428210.30912844], [454116.16353824, 5428210.39862844]]]]",,,102286477,Karlsruhe,2025-11-02T23:00:00Z,2026-08-14T21:59:59Z,Fernwärmeversorgung,Hübschstraße zw. Kriegsstraße u. Eisenlohrstraße,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Verkehrsbehinderung,46078,2025V2418,Stadt Karlsruhe,2025-08-31T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102295047,geom,MultiPolygon,"[[[[456718.09713608, 5428861.13462805], [456725.10864907, 5428867.72262905], [456706.36161609, 5428888.91553703], [456697.1830441, 5428899.52268003], [456692.7917701, 5428903.53213803], [456688.4580171, 5428906.03879602], [456684.81119211, 5428906.97870302], [456679.96141911, 5428906.87439502], [456676.35147411, 5428905.36426903], [456670.24023712, 5428901.50233903], [456642.40327314, 5428884.08420404], [456637.57258715, 5428877.74564004], [456626.60606316, 5428871.29319404], [456630.12133615, 5428865.12542805], [456671.17663612, 5428891.04002803], [456681.98013611, 5428898.51582803], [456684.43123611, 5428899.12842803], [456685.97823611, 5428898.49232803], [456697.3711651, 5428885.44531304], [456718.09713608, 5428861.13462805]]], [[[456243.69093647, 5428894.88161803], [456236.98283648, 5428887.99062804], [456254.62893647, 5428875.82092805], [456273.15713645, 5428865.07022805], [456282.22963644, 5428860.08442805], [456296.00288443, 5428853.11626906], [456312.91713642, 5428845.50012806], [456332.1060364, 5428838.02862806], [456346.80223639, 5428832.92622807], [456366.16194637, 5428827.40204107], [456380.29104936, 5428824.25224107], [456388.79110635, 5428822.81687507], [456397.11998035, 5428821.64240707], [456412.32901533, 5428819.48254408], [456426.36812332, 5428818.49260708], [456435.78044131, 5428818.12440408], [456446.70683231, 5428818.40261208], [456460.74594029, 5428818.76258908], [456477.57487228, 5428819.39254908], [456492.88448327, 5428820.20212207], [456511.56883625, 5428822.92622807], [456532.34926023, 5428827.11653407], [456543.22643622, 5428829.83512807], [456553.72793622, 5428832.80482807], [456552.42197222, 5428838.16703106], [456571.9640362, 5428843.75502806], [456600.12083618, 5428855.20082805], [456617.80404616, 5428863.98771505], [456615.46919816, 5428869.42151105], [456604.42400617, 5428863.94628505], [456581.04603619, 5428853.33202806], [456560.80355721, 5428845.72520206], [456553.61946722, 5428843.44714006], [456543.50655022, 5428840.46680906], [456528.84546424, 5428836.54602406], [456517.33357225, 5428834.32185807], [456503.55649026, 5428832.13015807], [456493.29763727, 5428831.11244307], [456476.18487728, 5428829.25428607], [456460.82011129, 5428828.36733307], [456443.01584931, 5428827.88542307], [456433.27626032, 5428828.47349607], [456421.82492933, 5428828.96842907], [456409.46300334, 5428830.49672307], [456394.55808235, 5428832.51074707], [456380.56703636, 5428835.30362807], [456363.80563537, 5428838.65802706], [456348.27108939, 5428842.94044006], [456339.12882539, 5428845.59294706], [456328.9064124, 5428849.37723706], [456311.90968842, 5428855.82746105], [456303.30990843, 5428859.48022505], [456278.52239845, 5428871.93725504], [456259.53625146, 5428883.75373404], [456243.69093647, 5428894.88161803]]]]",,,102295047,Karlsruhe,2025-10-31T23:00:00Z,2026-12-20T22:59:59Z,Tunnelbau,Schlossplatz zw. Herrenstraße u. Zirkel,,Tiefbauamt,"Ein Fahrstreifen im Haupttunnel und ein Fahrtstreifen in der Tiefspur (Höhe max. 2,00 m) jeweils Zirkel Richtung Kunsthalle frei, Anbindung der Parkhäuser wechselweise über Haupttunnel oder Tiefspur.",mit Sperrung in eine Fahrtrichtung,44397,2025V3336,Stadt Karlsruhe,2025-09-29T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102310612,geom,MultiPolygon,"[[[[455203.08483734, 5428616.0603282], [455356.65623721, 5428606.2031282], [455357.37053721, 5428610.0603282], [455203.37053734, 5428620.9174282], [455203.08483734, 5428616.0603282]]], [[[455286.79903727, 5428606.48882821], [455286.94193727, 5428603.34602821], [455295.51333726, 5428602.20312821], [455295.79903726, 5428605.7745282], [455286.79903727, 5428606.48882821]]], [[[455308.29903725, 5428601.48882821], [455316.87053725, 5428600.34602821], [455316.58483725, 5428604.06032821], [455308.29903725, 5428604.7745282], [455308.29903725, 5428601.48882821]]]]",,,102310612,Karlsruhe,2026-09-18T22:00:00Z,2026-10-10T21:59:59Z,Fernwärmeversorgung,Belfortstraße zw. Leopoldstraße und Reinhold-Frank-Straße,,Stadtwerke Karlsruhe,Restarbeiten,mit Verkehrsbehinderung,40847,2025V5175,Stadt Karlsruhe,2025-09-11T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102311707,geom,MultiPolygon,"[[[[452938.73703924, 5430346.03482718], [452946.57743923, 5430339.92852719], [452949.19663923, 5430346.76622718], [452950.70943923, 5430348.70652718], [452953.53303923, 5430350.07802718], [452946.28093923, 5430355.72102718], [452938.73703924, 5430346.03482718]]], [[[452952.81743923, 5430335.06802719], [452954.71233923, 5430329.54082719], [452960.49873922, 5430317.8676272], [452963.51023922, 5430310.58512721], [452970.29023921, 5430307.1114272], [452990.2446392, 5430294.45202721], [452997.34983919, 5430312.1259272], [452997.99413919, 5430324.5435272], [452978.67683921, 5430339.38102719], [452971.86943921, 5430347.01482718], [452969.18113921, 5430346.61892718], [452959.86403922, 5430345.14642719], [452956.45623923, 5430342.05532719], [452955.11693923, 5430340.33702719], [452952.81743923, 5430335.06802719]]], [[[452955.19113923, 5430205.37962727], [452962.01143922, 5430222.43762726], [452966.08763922, 5430228.69432726], [452968.30873921, 5430237.24962725], [452974.33973921, 5430245.90022724], [452981.7325392, 5430274.32882722], [452983.6611392, 5430279.47162722], [452985.3754392, 5430282.72162722], [452988.6813392, 5430286.13152722], [452986.3457392, 5430288.29602722], [452977.01473921, 5430295.11602721], [452958.10703922, 5430222.81652726], [452955.19113923, 5430205.37962727]]], [[[452980.21173921, 5430345.16942718], [452990.0772392, 5430338.27012719], [453014.99103918, 5430432.34222713], [453016.79933918, 5430446.99052712], [453009.69353918, 5430438.56722713], [452999.47143919, 5430399.98432715], [452993.0898392, 5430390.02942716], [452980.21173921, 5430345.16942718]]], [[[453009.57303918, 5430302.60072721], [453057.33733914, 5430263.40272723], [453058.73413914, 5430266.67402723], [453038.36133916, 5430283.94742722], [453026.03313917, 5430295.90862721], [453014.57093918, 5430310.2519272], [453009.57303918, 5430302.60072721]]]]",,,102311707,Karlsruhe,2025-10-24T22:00:00Z,2025-11-09T22:59:59Z,Gleisbau,B36/ Neureuter Straße Kreuzungsbereich Siemensallee,,Verkehrsbetriebe Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,51322,2025V2223,Stadt Karlsruhe,2025-09-16T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102312254,geom,MultiPolygon,"[[[[457621.22111633, 5428771.8151311], [457616.36397333, 5428769.6722741], [457617.36397333, 5428763.24370211], [457618.50683033, 5428763.95798811], [457617.50683033, 5428768.5294161], [457620.64968733, 5428769.9579881], [457621.22111633, 5428771.8151311]]], [[[457635.50683031, 5428777.5294161], [457635.22111631, 5428780.38655909], [457626.22111632, 5428774.6722741], [457627.22111632, 5428772.5294161], [457635.50683031, 5428777.5294161]]], [[[457732.28293723, 5428829.44233107], [457729.22152324, 5428834.09114506], [457682.84676627, 5428807.44550208], [457644.86255131, 5428785.44867409], [457644.06885131, 5428789.53055909], [457642.70822331, 5428789.53055909], [457642.93499431, 5428784.99513109], [457639.87358031, 5428783.29434509], [457640.55389431, 5428781.25340209], [457664.47828029, 5428794.51953109], [457728.54120924, 5428831.36988806], [457730.24199424, 5428828.42185907], [457732.28293723, 5428829.44233107]]]]",,,102312254,Karlsruhe,2025-10-17T22:00:00Z,2025-11-28T22:59:59Z,Strom bzw. TK-Versorgung,Karl-Wilhem-Straße zw. Parkstraße und Adenauerring,,Stadtwerke Karlsruhe,"Arbeitsstelle im Geh- und Radweg, Notgehweg auf der Fahrbahn",mit Verkehrsbehinderung,52647,2025V5422,Stadt Karlsruhe,2025-09-21T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102313313,geom,MultiPolygon,"[[[[451819.11858816, 5428983.67066199], [451819.05323616, 5428980.163449], [451866.41744812, 5428979.280886], [451866.48280012, 5428982.78809899], [451819.11858816, 5428983.67066199]]], [[[451873.91732712, 5428980.447521], [451876.07822912, 5428978.709888], [451899.7865591, 5429008.19332298], [451897.6256571, 5429009.93095598], [451873.91732712, 5428980.447521]]]]",,,102313313,Karlsruhe,2025-10-17T22:00:00Z,2025-10-19T21:59:59Z,Bauliche Sondernutzung,Rheinhafenstraße im Einmündungsbereich der Südbeckenstraße,,Privat,,mit Verkehrsbehinderung,52522,2025V5528,Stadt Karlsruhe,2025-09-24T22:00:00Z
