type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1112,geom,Point,"[389426.38255268, 5270752.73090236]",389426.38255268,5270752.73090236,1112,,2025-10-09T22:00:00Z,2025-10-12T18:00:00Z,AK5_encours,D105 Hésingue/St-Louis,,,Dévoiement de la chaussée et changements des limitations de vitesses - voir mesures d'exploitations ci-joints.,,6769,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1117,geom,Point,"[373668.45130709, 5366749.02202348]",373668.45130709,5366749.02202348,1117,,2025-12-09T23:00:00Z,2025-10-12T10:00:00Z,CE3a Information,"D130 - Bœrsch, Grendelbruch, Le Hohwald, Natzwiller, Neuviller-la-Roche et Ottrott",,,"Manifestation sportive intitulée “Biathlon <br />d'automne”<br />• Sur la D130 du PR 008 + 0800 au PR 014 + 0229 <br />Dans les deux sens de circulation, sur les communes de Bœrsch, de Grendelbruch, de Le Hohwald, <br />de Natzwiller, de Neuviller-la-Roche et d'Ottrott, la circulation est interdite à tous les véhicules.<br />• les signaleurs facilitent le déroulement des épreuves dans le cadre de l'usage privatif de la <br />chaussée et peuvent être fixes ou mobiles.<br />Toute circulation publique (et/ou le stationnement) est interdite aux horaires susmentionnés sur <br />l'itinéraire de la manifestation sportive. L’usage de la chaussée est réservé uniquement à la <br />manifestation. Toutefois cette disposition n'est pas applicable aux véhicules de secours, aux <br />véhicules des forces de l'ordre, aux véhicules du gestionnaire de la voirie, aux véhicules de <br />l'organisateur de la manifestation.<br />Les usagers de la route ne peuvent reprendre leur marche qu’après la réouverture de la route et <br />l’accord des signaleurs.<br />Une déviation sera mise en place pour tous les véhicules, dans les deux sens de circulation par les <br />D130, D1420, D57, D657, D414, D214, via les communes de BAREMBACH, NATZWILLER, ROTHAU, <br />LA BROQUE, PLAINE, FOUDAY, BLANCHERUPT, WALDERSBACH, BELMONT, LE HOHWALD.",,6795,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1141,geom,Point,"[385210.78500328, 5368673.75808025]",385210.78500328,5368673.75808025,1141,,2025-10-19T22:00:00Z,2025-10-24T06:00:00Z,KC1_route-barree,D426 - Entre Obernai et Ottrott,,,Route barrée avec mise en place d'une déviation (voir arrêté et plan),,6810,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1142,geom,Point,"[405143.42852949, 5359769.02810579]",405143.42852949,5359769.02810579,1142,,2025-10-19T22:00:00Z,2025-11-21T17:00:00Z,Travaux,D426 - Gerstheim ,,,Veuillez vous référer aux documents joints pour connaître les modalités de circulation.,,6805,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1148,geom,Point,"[366913.58066514, 5304229.63451006]",366913.58066514,5304229.63451006,1148,,2025-10-12T22:00:00Z,2025-10-14T16:00:00Z,KC1_route-barree,D505 Soultz-Haut-Rhin,,,Travaux de voirie;<br />Veuillez consulter les documents ci-dessous.,,6813,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1163,geom,Point,"[380187.29902278, 5315051.08672507]",380187.29902278,5315051.08672507,1163,,2025-12-09T23:00:00Z,2025-10-12T08:00:00Z,KC1_route-barree,D8I Niederergheim,,,Route barrée suite à manifestation sportive,,6800,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1167,geom,Point,"[370813.78083472, 5418509.94976878]",370813.78083472,5418509.94976878,1167,,2025-10-08T22:00:00Z,2025-10-31T21:00:00Z,AK5_encours,D919 - TIEFFENBACH ,,,"D919 - TIEFFENBACH - Travaux sur l'ouvrage d'art<br /><br />A compter du Mercredi 10 Septembre 2025 et jusqu'au Vendredi 31 Octobre 2025 inclus, sur la D919 au PR 028 + 0387, dans les deux sens de circulation, sur la commune de Tieffenbach, la circulation des véhicules est alternée par feux tricolores de chantier, sur décision du maître d'œuvre.<br />Cette disposition est applicable de jour comme de nuit.<br />En raison de contrainte technique lié au chantier la largeur de la chaussée sera réduite à 2 mètres.<br /><br />Une déviation sera mise en place pour les poids lourds, dans les deux sens de circulation par les D78, D183, D9, D239,  via les communes de TIEFFENBACH, STRUTH, PETERSBACH, LOHR, OTTWILLER, ASSWILLER, DURSTEL, ADAMSWILLER.<br /><br />Le Mardi 30 Septembre 2025 sur la D919 au PR 028 + 0387, dans les deux sens de circulation, sur la commune de Tieffenbach, la circulation est interdite à tous les véhicules.<br />Cette disposition est applicable de 06h30 à 19h00.<br />.<br />Toutefois cette disposition n'est pas applicable aux véhicules du gestionnaire de la voirie, aux véhicules des forces de l'ordre, aux véhicules de secours, aux véhicules de l'entreprise en charge des travaux.<br /><br />Une déviation sera mise en place pour tous les véhicules, dans les deux sens de circulation par les D78, D183, D9, D239,  via les communes de TIEFFENBACH, STRUTH, PETERSBACH, LOHR, OTTWILLER, ASSWILLER, DURSTEL, ADAMSWILLER.",,6728,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.1175,geom,Point,"[402109.02930568, 5358385.20414795]",402109.02930568,5358385.20414795,1175,,2025-10-14T22:00:00Z,2025-10-20T16:00:00Z,Travaux,Piste cyclable du canal du Rhône au Rhin - Gerstheim et Obenheim,,,Veuillez vous référer aux documents joints pour connaître les modalités.,,6806,,Collectivité européenne d’Alsace,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.101725970,geom,Point,"[455806.86269584, 5428368.76970135]",455806.86269584,5428368.76970135,101725970,Karlsruhe,2026-04-29T22:00:00Z,2026-10-31T22:59:59Z,Strom bzw. TK-Versorgung,Herrenstraße zw. Karlstor und Amalienstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,22525,2019V3692,Stadt Karlsruhe,2025-07-27T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102021978,geom,Point,"[455574.25531101, 5426043.67523971]",455574.25531101,5426043.67523971,102021978,Karlsruhe,2025-11-09T23:00:00Z,2026-02-18T22:59:59Z,Haltestellenumbau mit Straßenumgestaltung,Neckarstraße zwischen Enzstraße und Dreisamstraße,,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen.",mit Verkehrsbehinderung,31027,2020V5592,Stadt Karlsruhe,2025-08-10T22:00:00Z
