type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.101725969,geom,Polygon,"[[[455848.9770598, 5428434.5537653], [455750.69134588, 5428304.55376538], [455758.97705987, 5428298.26805139], [455859.54848779, 5428425.69662231], [455848.9770598, 5428434.5537653]]]",,,101725969,Karlsruhe,2026-04-29T22:00:00Z,2026-10-31T22:59:59Z,Strom bzw. TK-Versorgung,Herrenstraße zw. Karlstor und Amalienstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,22525,2019V3692,Stadt Karlsruhe,2025-07-27T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102244740,geom,Polygon,"[[[455200.31430834, 5428615.9673782], [455198.74717134, 5428620.26948919], [455199.53288634, 5428631.51948919], [455201.31860034, 5428653.26948918], [455202.92574334, 5428673.73377517], [455204.27484034, 5428690.44569516], [455205.27484034, 5428703.37426715], [455208.34626834, 5428703.26712415], [455208.98912634, 5428707.40998115], [455215.06055433, 5428707.19569515], [455215.48912633, 5428709.69569514], [455205.88198334, 5428710.26712414], [455207.17431734, 5428716.99659514], [455208.36489734, 5428720.73841814], [455210.34919734, 5428749.70919812], [455188.91875735, 5428751.86358112], [455186.99115135, 5428730.71661213], [455201.90174834, 5428728.16536913], [455199.80406034, 5428706.73492915], [455199.01034034, 5428694.94251815], [455196.51579135, 5428663.76066117], [455194.70157435, 5428639.94906119], [455192.77396835, 5428616.4209322], [455200.31430834, 5428615.9673782]]]",,,102244740,Karlsruhe,2026-07-29T22:00:00Z,2026-10-16T21:59:59Z,Fernwärmeversorgung,Reinhold-Frank-Straße zwischen Belfortstraße und Kaiserallee,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40847,2024V5284,Stadt Karlsruhe,2025-10-05T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102132432,geom,Polygon,"[[[460090.83519126, 5427778.35737768], [460168.6203332, 5427755.97412869], [460170.06373319, 5427753.30382869], [460169.5843222, 5427751.67420769], [460175.99365619, 5427749.7961137], [460177.62443319, 5427755.32442869], [460178.45833319, 5427755.79702869], [460204.92313317, 5427748.1831287], [460205.38903317, 5427747.44442869], [460204.03583317, 5427742.6199287], [460210.23125616, 5427740.8333767], [460211.13547016, 5427743.7748357], [460213.63913316, 5427742.9498287], [460222.82081315, 5427740.2448777], [460247.54243313, 5427733.3100287], [460250.99193313, 5427730.87462871], [460252.96603313, 5427728.32382871], [460260.35864412, 5427732.5437527], [460258.51593312, 5427735.0882287], [460256.85793312, 5427737.1495287], [460254.93823312, 5427738.7919287], [460252.71833313, 5427740.0333287], [460250.39853313, 5427741.0878287], [460205.76373317, 5427754.24762869], [460131.07323323, 5427775.81742868], [460128.39673323, 5427777.08832868], [460126.91444423, 5427778.54006668], [460112.79873324, 5427782.40632868], [460109.77183325, 5427781.35202867], [460105.99913325, 5427781.39792868], [460100.17512225, 5427783.03907068], [460094.78491126, 5427784.60605967], [460092.80827126, 5427785.18058267], [460091.27748326, 5427779.89454868], [460090.83519126, 5427778.35737768]]]",,,102132432,Karlsruhe,2026-08-02T22:00:00Z,2026-09-06T21:59:59Z,Straßenbau,Johann-Strauß-Straße zw. Anton-Bruckner-Straße und Zufahrt K 9659 (ehem. B 10),,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Verkehrsbehinderung,12438,2022V5259,Stadt Karlsruhe,2025-05-19T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102135581,geom,Polygon,"[[[452992.4506392, 5430304.86442721], [452988.9688392, 5430296.51682721], [453009.06233918, 5430282.20732722], [453027.60263917, 5430266.58022723], [453026.83973917, 5430257.50592724], [453032.20483916, 5430254.71402724], [453038.29463916, 5430257.06512724], [453049.72853915, 5430248.59322724], [453129.55663908, 5430181.81172728], [453130.44483008, 5430175.80649328], [453133.51683908, 5430173.51562728], [453137.02743907, 5430174.99902729], [453151.50427006, 5430163.79213629], [453227.592339, 5430099.54252733], [453226.638212, 5430092.59983733], [453231.85013899, 5430091.09272733], [453235.65063899, 5430092.40322733], [453254.01054398, 5430078.01807334], [453322.78903892, 5430020.23332738], [453322.23781592, 5430014.42509338], [453325.54143892, 5430011.69292738], [453328.20283891, 5430013.60852738], [453332.97823891, 5430012.13852738], [453376.89103887, 5429975.4715274], [453419.73433884, 5429939.72342742], [453438.01305682, 5429924.32988843], [453477.74563879, 5429890.08152745], [453519.95355775, 5429852.88701148], [453538.77143874, 5429837.04602748], [453545.04010073, 5429832.90294249], [453549.45503873, 5429841.95892748], [453536.40113874, 5429845.44220848], [453457.5277748, 5429912.66714844], [453349.9592219, 5430002.10594739], [453315.88702192, 5430030.09019037], [453184.29070203, 5430141.46122431], [453141.34607907, 5430176.75235028], [453139.15824307, 5430181.69950328], [453134.61739008, 5430185.42183628], [453129.89275008, 5430185.53432728], [453106.4945331, 5430205.10783627], [453037.30366516, 5430262.23328423], [452998.04028219, 5430295.34321621], [452992.4506392, 5430304.86442721]]]",,,102135581,Karlsruhe,2026-07-29T22:00:00Z,2027-07-31T21:59:59Z,Gas bzw. Wasserversorgung,Siemensallee zwischen B36/ Neureuter Straße und Hertzstraße,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40810,2022V5679,Stadt Karlsruhe,2025-09-16T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248527,geom,Polygon,"[[[454935.67223755, 5426740.0632293], [454928.47763756, 5426700.48282933], [455033.73413747, 5426666.30102935], [455108.40333741, 5426627.61932937], [455242.44783729, 5426553.85132941], [455367.48453719, 5426495.38512945], [455525.80963706, 5426445.91122948], [455536.60543705, 5426485.49152945], [455383.67683718, 5426532.26612943], [455259.53933728, 5426592.53012939], [455126.39353739, 5426665.39922935], [455044.52693746, 5426706.77992933], [454935.67223755, 5426740.0632293]]]",,,102248527,Karlsruhe,2025-11-22T23:00:00Z,2025-11-28T22:59:59Z,Tunnelwartung,K 9675 zw. AS3 und AS4 (Edeltrudtunnel),,Tiefbauamt,Ausführung jeweils zw. 22.00 und 5.00 Uhr,mit Vollsperrung,44411,2024V5696,Stadt Karlsruhe,2025-09-24T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248550,geom,Polygon,"[[[457218.46492266, 5428222.25296242], [457060.61739279, 5428275.7821344], [456907.26244192, 5428304.41217138], [456537.33968523, 5428248.56942541], [456192.64537651, 5428249.98675441], [455788.99019985, 5428253.10487741], [455491.3512001, 5428253.95527441], [455491.0677341, 5428234.11267442], [455744.57630289, 5428235.63829142], [455989.93344568, 5428234.56686242], [456337.43344539, 5428231.70971942], [456539.21915922, 5428231.70971942], [456818.50487299, 5428271.7097194], [456910.29058692, 5428285.63829139], [457054.57630179, 5428257.06686241], [457212.79058666, 5428204.20971944], [457218.46492266, 5428222.25296242]]]",,,102248550,Karlsruhe,2025-10-11T22:00:00Z,2025-10-17T21:59:59Z,Tunnelwartung,Kriegsstraße zw. Hirschstraße und Henriette-Obermüller-Straße (Karoline-Luise-Tunnel),,Tiefbauamt,Nachtarbeiten im Tunnel zw. 20.00 und 6.00 Uhr,mit Sperrung in eine Fahrtrichtung,44408,2024V5702,Stadt Karlsruhe,2025-09-24T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248566,geom,Polygon,"[[[461207.40493233, 5427727.78182871], [461203.08270733, 5427724.45004271], [461201.93985033, 5427714.87861471], [461208.22556433, 5427717.30718571], [461209.08270733, 5427712.73575771], [461217.93985032, 5427713.45004271], [461217.79699332, 5427720.02147171], [461222.36842132, 5427720.16432871], [461222.51127832, 5427728.16432871], [461213.24409633, 5427726.68649671], [461222.76048232, 5427777.41787268], [461216.92131832, 5427778.51320467], [461207.40493233, 5427727.78182871]]]",,,102248566,Karlsruhe,2026-03-01T23:00:00Z,2026-05-29T21:59:59Z,Kanalbau,Lederstraße zw.Pfinzstraße u. Seboldstraße,,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Vollsperrung,41041,2024V5704,Stadt Karlsruhe,2025-08-31T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102249366,geom,Polygon,"[[[452919.52904425, 5430019.96149238], [452910.67190126, 5429984.8186354], [452878.10047329, 5429993.67577839], [452882.10047329, 5429998.53292139], [452883.24333028, 5430004.81863538], [452898.95761627, 5430063.10435035], [452898.38618727, 5430069.39006435], [452894.38618728, 5430075.39006435], [452899.24333027, 5430090.81863534], [452902.95761627, 5430091.96149233], [452907.24333026, 5430095.96149233], [452910.10047326, 5430107.96149232], [452928.38618725, 5430174.53292129], [452958.95761622, 5430292.24720721], [453003.24333019, 5430280.53292122], [453002.95761619, 5430281.39006422], [453004.10047319, 5430284.81863522], [452957.24333022, 5430297.10435021], [452906.10047327, 5430097.10435033], [452902.10047327, 5430094.24720733], [452896.95761627, 5430093.10435034], [452891.24333028, 5430072.53292135], [452895.24333027, 5430069.67577835], [452895.24333027, 5430063.67577835], [452878.10047329, 5429997.67577839], [452861.2433303, 5429980.5329214], [452862.9576163, 5429979.6757784], [452874.38618729, 5429991.67577839], [452909.81475926, 5429981.1043504], [452909.52904426, 5429978.5329214], [452910.95761626, 5429978.2472074], [452921.52904425, 5430018.81863538], [452919.52904425, 5430019.96149238]]]",,,102249366,Karlsruhe,2026-01-18T23:00:00Z,2026-02-28T22:59:59Z,Strom bzw. TK-Versorgung,B36/ Neureuter Straße zw. Borsigstraße und Sienemsallee,,Stadtwerke Karlsruhe,"vs 5 Wochen, Aufteilung nicht vorgenommen",mit Verkehrsbehinderung,40464,2024V5817,Stadt Karlsruhe,2025-09-22T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102249382,geom,Polygon,"[[[452690.45443945, 5430272.70882723], [452696.12373944, 5430265.67892723], [452724.01663942, 5430238.69312725], [452720.61503942, 5430233.93092725], [452709.04973943, 5430245.26942724], [452709.50323943, 5430242.09462725], [452747.3740394, 5430204.90412727], [452756.21813939, 5430191.07112728], [452754.85753939, 5430185.17502728], [452764.60873938, 5430177.69162729], [452749.4150394, 5430162.04432729], [452751.90953939, 5430160.23022729], [452768.46383938, 5430175.19712729], [452769.14413938, 5430178.37192728], [452758.48583939, 5430187.21602728], [452759.39293939, 5430193.79232728], [452755.99143939, 5430199.91522727], [452743.2922394, 5430213.06792726], [452723.33633942, 5430232.57022725], [452726.28433942, 5430236.65212725], [452728.32523941, 5430238.69312725], [452694.30953944, 5430270.89462723], [452694.76313944, 5430280.19222722], [452701.33943944, 5430288.12922722], [452757.57883939, 5430359.10872718], [452762.34103939, 5430361.60322718], [452767.78353938, 5430360.46932718], [452789.55353936, 5430341.64732719], [452794.76933936, 5430347.99692718], [452874.59283929, 5430281.55292722], [452879.35503929, 5430279.51192723], [452882.52983929, 5430276.79072723], [452845.33933932, 5430138.68692731], [452848.06063931, 5430130.52312731], [452849.65743931, 5430128.79322731], [452849.28823931, 5430129.00092731], [452840.64533932, 5430119.85802732], [452815.28823934, 5430147.9295273], [452824.57393933, 5430158.4295273], [452823.64533933, 5430158.7152273], [452814.57393934, 5430148.6438273], [452786.07393937, 5430173.42952729], [452791.00253936, 5430179.64382728], [452780.07393937, 5430189.35802728], [452759.07393939, 5430207.28662727], [452727.85963942, 5430237.14382725], [452727.07393942, 5430236.21522725], [452758.29233939, 5430206.20552727], [452789.70023936, 5430179.55992728], [452785.05143937, 5430174.34412729], [452783.46403937, 5430175.93152729], [452777.45453937, 5430178.08582728], [452773.14593938, 5430178.31262728], [452769.51753938, 5430178.08582728], [452769.85773938, 5430176.95202729], [452777.79473937, 5430176.38512728], [452782.21673937, 5430175.13782729], [452784.82463937, 5430172.30322729], [452787.65923937, 5430170.60242729], [452794.57583936, 5430164.70632729], [452814.19153934, 5430147.4717273], [452824.73643933, 5430136.35992731], [452841.63083932, 5430116.74422732], [452854.33003931, 5430104.49852733], [452889.13953928, 5430075.58522734], [452890.61353928, 5430076.60562735], [452841.35963932, 5430119.14382732], [452850.23913931, 5430128.16312731], [452853.50313931, 5430124.62702732], [452872.09833929, 5430109.20662732], [452892.73453928, 5430092.42552733], [452895.90933927, 5430091.06492734], [452890.46683928, 5430074.96412735], [452894.09523928, 5430072.69642735], [452899.99123927, 5430092.19872733], [452893.41483928, 5430094.69322734], [452851.91573931, 5430130.29632731], [452847.83383931, 5430135.05852731], [452851.23543931, 5430149.7987273], [452858.94563931, 5430180.63962728], [452864.3881393, 5430200.82222727], [452882.30303929, 5430267.03952723], [452885.02433928, 5430276.79072723], [452924.48253925, 5430322.5985272], [452919.72033926, 5430326.68042719], [452921.30773925, 5430322.8253272], [452884.79753928, 5430279.28522723], [452879.35503929, 5430282.68672722], [452874.59283929, 5430284.50092722], [452832.64013933, 5430319.4237272], [452793.18193936, 5430351.17172718], [452788.87323937, 5430345.95602718], [452766.42283938, 5430363.41742718], [452761.66063939, 5430364.32442717], [452758.48583939, 5430363.41742718], [452754.17723939, 5430361.37642718], [452690.90803945, 5430279.28522723], [452690.45443945, 5430272.70882723]]]",,,102249382,Karlsruhe,2026-01-18T23:00:00Z,2026-06-16T21:59:59Z,Strom bzw. TK-Versorgung,Gablonzerstraße zw. B36 und Schoemperlenstraße,,Stadtwerke Karlsruhe,"Arbeitsstelle im Geh-, und Radwegbereich, Abwicklung in mehreren Bauabschnitten",mit Verkehrsbehinderung,40464,2024V5818,Stadt Karlsruhe,2025-09-22T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102249547,geom,Polygon,"[[[455121.8081954, 5428064.90675052], [455137.45542439, 5428063.77289352], [455140.17668139, 5428088.15082151], [455142.33101039, 5428100.2830935], [455130.8790534, 5428108.7870215], [455126.7971674, 5428104.2515935], [455122.9420534, 5428098.5823075], [455122.6018954, 5428089.05790751], [455122.6018954, 5428083.16185051], [455121.8081954, 5428064.90675052]]]",,,102249547,Karlsruhe,2026-07-29T22:00:00Z,2026-09-18T21:59:59Z,Gleisbau,Brauerstraße zw. Putlitzstraße und Gartenstraße,,Verkehrsbetriebe Karlsruhe,,mit Verkehrsbehinderung,46471,2024V5787,Stadt Karlsruhe,2024-11-04T23:00:00Z
